tech,BE,CH,DE,ES,FR,IE,IT,NL,PT,UK
h2_saltcavern_input,0.0,0.0,0.0,0.0,19.956744363917277,0.0,0.0,0.0,0.0,0.0
h2_ccgt_input,19.24515137303336,6.519968521168792,81.67952518008332,24.209693597875958,2.4639038552488487e-07,3.235532055504145,59.30212543842032,23.554879457377517,2.187338364256088,106.20409508061638
demand,25.89999999999999,5.5,148.40000000000003,58.6,49.764499999999984,19.200000000000006,30.300000000000008,44.39999999999999,7.399999999999999,56.29999999999998
H2_trade_exports,0.0,13.913594975494696,0.0,11.516840144159943,37.318742818278835,54.17599096295496,0.0,27.73462989780766,15.902917866255812,0.0
