area,phs,battery_1h,battery_2h,battery_4h,battery_8h,h2_saltcavern,ch4_reservoir,str_dummy
BE,0.0,2.2089622188678693e-05,0.00010105885703895728,422.37315966660594,412.86768998062354,0.0,0.0,0.0
CH,0.0,2.5686810777358758e-05,0.00019964475101947202,120.90962949441331,6.901281767575199e-05,0.0,0.0,0.0
DE,0.0,2.1375339260478717e-05,9.711507391970912e-05,2247.7413718476455,1471.55041390876,0.0,0.0,0.0
ES,0.0,2.0751950008909073e-05,8.068967052803898e-05,1756.1880656748865,329.29975889994597,0.0,0.0,0.0
FR,101.5573942828114,4.878018370473997e-05,0.00022295835392745604,1028.2455424770562,869.0399658486198,79.56487597617473,0.0,0.0
IE,0.0,2.0381783917482018e-05,7.334267416878937e-05,276.13733633633683,20.25242853964066,0.0,0.0,0.0
IT,0.0,2.315149835866018e-05,9.509555258176401e-05,2159.204770435832,1778.1480995703218,0.0,0.0,0.0
NL,0.0,2.2063804182801058e-05,0.00010087751332266075,240.38526995584593,859.5195109875457,0.0,0.0,0.0
PT,0.0,2.0712823879073844e-05,8.050905251244362e-05,220.35969178077423,0.7816906081230481,0.0,0.0,0.0
UK,0.0,2.040816519734741e-05,7.356687107843134e-05,1137.526000815772,1050.9287930298574,0.0,0.0,0.0
