tech,BE,CH,DE,ES,FR,IE,IT,NL,PT,UK
ch4_reservoir_input,0.0,0.0,0.0,0.0,14.616138576422614,0.0,0.0,0.0,0.0,0.0
ch4_ocgt_input,0.645742642329241,4.73879363223179e-08,3.997204689211942,1.1639146717081033e-07,3.7258954484744653e-07,1.2215813914705376,0.7848388376322201,4.285596732863815,1.1777426349599439e-07,7.988160320260197
ch4_ccgt_input,1.4650845374353396,1.8432995661507285e-07,0.002795319554614721,3.282971071862864e-07,7.843962656429568,0.0008590784452574786,0.7522926887048925,5.130959670505076,3.342800926575563e-07,0.11631502887602471
ocgt_coge_input,4.564971824193971e-12,0.0,0.0,0.0,4.823695108902623e-12,4.682921003494886e-12,5.044438255860994e-12,4.591154076915571e-12,0.0,4.930385633389985e-12
demand,41.0,6.999999999999999,111.99999999999999,84.0,137.79140740387564,7.9999999999999964,99.0,75.0,12.0,87.0
CH4_trade_exports,0.5921003380782062,0.999999855582802,4.121342111663873e-08,2.6779458013341197,24.90337290364693,6.77755963871842,10.888672413983157,0.23418386835029806,1.9999996290136925,10.674805033796353
