direction,partner,congestion_rent_M€yr,cap_gw,mean_util_pct,mean_flow_gw,pct_hours_at_full,pct_hours_idle,energy_twh
FR→DE,DE,923.2549990285893,12.6,25.659613353837695,3.2331112825835495,13.63013698630137,60.2054794520548,28.322054835431892
DE→FR,DE,1624.8483643217678,11.0,36.4839425420868,4.013233679629548,26.10730593607306,51.449771689497716,35.15592703355483
FR→CH,CH,436.8755032045558,3.3,35.46816966768413,1.1704495990335764,24.96575342465753,55.39954337899543,10.253138487534128
CH→FR,CH,577.6188918572706,2.0,40.47260590449964,0.8094521180899927,33.35616438356164,51.47260273972603,7.090800554468337
FR→IT,IT,1073.2988938475498,3.1,46.758389068439286,1.4495100611216178,37.32876712328767,44.109589041095894,12.697708135425371
IT→FR,IT,703.2695969259312,3.1,28.344180212912224,0.8786695866002789,22.397260273972602,64.24657534246575,7.697145578618444
FR→ES,ES,582.1888601622572,10.2,25.888094363366818,2.6405856250634154,13.481735159817351,60.422374429223744,23.131530075555517
ES→FR,ES,1476.897003429675,9.5,35.295879508938896,3.3531085533491947,24.200913242009133,50.28538812785388,29.373230927338945
FR→UK,UK,2349.656590970266,9.8,33.79460240103751,3.311871035301676,24.1324200913242,56.55251141552512,29.01199026924268
UK→FR,UK,3044.675306400352,9.5,37.28835665110911,3.5423938818553653,30.513698630136986,53.99543378995434,31.031370405053
