tech,BE,CH,DE,ES,FR,IE,IT,NL,PT,UK
ch4_reservoir_input,0.0,0.0,0.0,0.0,11.952807525009359,0.0,0.0,0.0,0.0,0.0
ch4_ocgt_input,0.398378289724517,1.6622951172899073e-07,3.999975203975515,1.1022160545185542e-06,1.9898147999515368,0.5080892301536867,1.7402931954217784,3.1222989729215898,1.0924658704986525e-06,4.186988320821356
ch4_ccgt_input,1.3963236509817289e-06,3.978225987063378e-07,1.3572652131207583e-06,6.015418291228543e-07,5.826468678504559,1.4719196081217646e-06,7.043074630574739e-07,1.4602615068955069e-06,5.964262696275858e-07,1.5141583631466054e-06
ocgt_coge_input,2.3009783700148503e-11,0.0,0.0,0.0,3.677745451792621e-11,2.405374417263496e-11,2.8758060499834617e-11,2.434572391262627e-11,0.0,3.985045438855499e-11
demand,41.0,6.999999999999999,111.99999999999999,84.0,132.12155327933843,7.9999999999999964,99.0,75.0,12.0,87.0
CH4_trade_exports,1.4744565190818144,1.0000028473860931,1.8847301703557785e-05,2.7530887915696844,30.521545977419933,7.4919131167096555,10.638469699392656,2.9267657708475645,2.00000061242585,13.044142114255429
