tech,FR,ES,IT,CH,DE,BE,UK,NL,IE,PT
methanization,160.75888,56,37,4,90,8,36,10,14,5
pyrogazification,7.90705,16,37,4,25,0,20,0,2,9
biogas_import,0.0,15,44,0,1,37,57,75,0,0
H2_import,0.0,0,0,0,0,0,0,0,0,0
