tech,FR
offshore_float,111.23252182161572
offshore_ground,65.951339457283
onshore,222.27753437134817
pv_ground,82.84797698583208
pv_roof_com,90.34132806516
pv_roof_indiv,48.3101262521152
river,39.194532639302544
lake,17.026286245548327
nuclear,9.474324317410892
methanization,162.51200999997346
pyrogazification,0.0
ocgt_coge,0.0
natural_gas,0.0
biogas_import,0.0
H2_import,0.0
coal,0.0
biomass_coge,0.0
geothermal_coge,0.9450025201314001
waste,4.309060221438507
marine,5.49674453973
rsv_dummy,0.0
ch4_ocgt,1.7328744272776162
ch4_ccgt,16.86957678304584
h2_ccgt,4.703562675910704
electrolysis,57.9402104608754
methanation,6.618296765359096
phs,12.923353165881172
battery_1h,0.0
battery_2h,10.45995371433922
battery_4h,7.11492049842553
battery_8h,0.0
h2_saltcavern,28.23695323705136
ch4_reservoir,30.41124410753384
str_dummy,0.0
lost_load,0.0
