Date,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Grand Est,Hauts-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur,Île-de-France
2010-01-01,5662.527955791096,1785.746102360899,1783.2577659813046,1458.3037077666677,3453.300490268502,4288.048418907004,2274.295109436589,3653.8997263889905,3208.051436677874,2085.0751876741097,3659.976757007492,5893.78896377025
2010-01-02,5873.5671209021775,1876.5224026829458,1893.0042706548954,1517.33417971447,3676.212541247897,4484.1804861807095,2374.295465694942,3805.918788585212,3338.4043619738413,2208.8155368980097,3766.5277665131566,6071.03734555913
2010-01-03,5662.527955791096,1785.746102360899,1783.2577659813046,1458.3037077666677,3453.300490268502,4288.048418907004,2274.295109436589,3653.8997263889905,3208.051436677874,2085.0751876741097,3659.976757007492,5893.78896377025
2010-01-04,6757.742411888328,2223.685822107488,2226.617934301397,1804.0454965811598,4818.686884084722,5296.8382270386455,2754.487745747213,4315.309165026736,3746.3723325392634,2783.7276658947176,4040.7899161246096,6928.629200443398
2010-01-05,6698.155161104716,2195.3043817958446,2183.3345764778833,1787.1826257688626,4761.690124928269,5194.108586105091,2713.1212447875623,4241.668450771569,3675.0452952887995,2744.6931876216627,3972.870209253985,6842.87031092588
2010-01-06,6741.32957503979,2211.1335906701042,2197.1456257118334,1799.435977183966,4797.905711854048,5242.169980862058,2721.9394750952097,4255.660000351429,3687.369121451882,2763.9738371672615,3985.5670709107826,6864.367436254496
2010-01-07,6733.359156247335,2209.539091622259,2198.368940366823,1798.3485169044834,4793.600046359408,5259.318423924027,2723.017174878433,4263.534340062932,3684.8676017423636,2764.0783309402327,3996.9919110590868,6804.0285765301305
2010-01-08,6599.063297322093,2159.9062180447886,2150.5317024909427,1760.7742298091619,4700.022806545917,5201.1681787780435,2674.4710886213998,4188.212177815553,3633.30310523939,2689.342162088907,3979.718704370227,6703.760102861616
2010-01-09,5873.5671209021775,1876.5224026829458,1827.8787611678558,1557.996984533913,4190.850425956558,4739.807729493369,2415.841795871594,3805.918788585212,3338.4043619738413,2263.286005842109,3773.293853623277,6071.03734555913
2010-01-10,5662.527955791096,1785.746102360899,1718.132256494265,1498.9665125861106,3967.9383749771628,4543.6756622196635,2315.841439613241,3653.8997263889905,3208.051436677874,2139.545656618209,3666.742844117612,5893.78896377025
