tech,FR
offshore_float,96.7192686269111
offshore_ground,56.54210384318859
onshore,190.8736719888216
pv_ground,81.5205444700932
pv_roof_com,89.11630689999
pv_roof_indiv,47.48762657021239
river,40.097298737109845
lake,16.421862930590173
nuclear,12.850919999992549
methanization,162.5120099999976
pyrogazification,0.0
ocgt_coge,0.0
natural_gas,0.0
biogas_import,0.0
H2_import,0.0
coal,0.0
biomass_coge,0.0
geothermal_coge,0.9450025201314001
waste,4.309060221438507
marine,5.49674453973
rsv_dummy,0.0
ch4_ocgt,0.8901428257916567
ch4_ccgt,28.536194785309668
h2_ccgt,0.0
electrolysis,49.76450003645449
methanation,23.469320991282817
phs,9.205016987593213
battery_1h,0.0
battery_2h,0.0
battery_4h,15.237188798284569
battery_8h,15.293552712435929
h2_saltcavern,24.243029680592535
ch4_reservoir,47.990711982211735
str_dummy,0.0
lost_load,0.0
