tech,BE,CH,DE,ES,IT,UK,IE,NL,PT,FR
phs_input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.991794177651862
battery_1h_input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6724097869643956e-08
battery_2h_input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7073587841853773e-07
battery_4h_input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.252491095051425
battery_8h_input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.06638558911943
electrolysis_input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.06423484760532
methanation_input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.168293837877506
str_dummy_input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
demand,114.18453744381651,69.69758256531946,645.2447416829044,336.5521185481979,410.8735313807587,531.7354515927603,46.058817417316355,204.52100786826878,73.14338639721585,506.1213364714934
curtailment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87797133587957
elec_trade_exports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
