tech,FR
offshore_float,37.68507992099255
offshore_ground,34.90644172374429
onshore,27.015224479996558
pv_ground,13.433447945205481
pv_roof_com,11.837507077625572
pv_roof_indiv,12.962872831050227
river,60.22785799253461
lake,14.385807336503213
nuclear,69.9999999999594
methanization,99.99999999913182
pyrogazification,0.0
ocgt_coge,0.0
natural_gas,
biogas_import,
H2_import,
coal,
biomass_coge,
geothermal_coge,79.9088889
waste,17.31209387510274
marine,45.04441780821917
rsv_dummy,
ch4_ocgt,1.77148567731928
ch4_ccgt,19.196705037539605
h2_ccgt,0.0
electrolysis,45.81029297544951
methanation,39.90836884714503
phs,20.766818695255555
battery_1h,0.0
battery_2h,0.0
battery_4h,11.430569976868519
battery_8h,19.788590054526075
h2_saltcavern,41.182576512495416
ch4_reservoir,6.196084213207069
str_dummy,
lost_load,
