area,phs,battery_1h,battery_2h,battery_4h,battery_8h,h2_saltcavern,ch4_reservoir,str_dummy
BE,0.0,7.95993885477553e-05,0.0003034733203014604,280.78512336880203,25.373619944871336,0.0,0.0,0.0
CH,0.0,6.208715714461667e-05,0.00014036732957857073,0.00024997944494734584,0.00014324633591205157,0.0,0.0,0.0
DE,0.0,7.700160930617403e-05,0.00029201177544143356,1670.9723119540886,41.57780054086098,0.0,0.0,0.0
ES,0.0,7.328963300120128e-05,0.0002503014926854151,1785.0594248393868,100.46743067697587,0.0,0.0,0.0
FR,1.096790025362009e-06,0.00017339951628273284,0.0008413769308937365,732.7776680959107,0.0011008006644536935,56.84893520146222,0.0,0.0
IE,0.0,0.0002063375368477443,11.013123545284198,51.55998615941999,0.0007483730309489591,0.0,0.0,0.0
IT,0.0,8.64447515605016e-05,0.00031513718972944315,1790.0286469718314,365.9455464228338,0.0,0.0,0.0
NL,0.0,7.978401289353244e-05,0.00030450225593763,504.9146243047607,6.193137505239153,0.0,0.0,0.0
PT,0.0,7.300438582643891e-05,0.00024892614598528534,62.64830496022132,1.7465074797609554,0.0,0.0,0.0
UK,0.0,0.00020811038444926085,54.68586463810221,613.7957577706512,0.0007559074186247745,0.0,0.0,0.0
