area,peak_gw,peak_gw_pre_dsm,min_gw,mean_residual_gw,mean_demand_gw,mean_vre_gw,vre_coverage_pct,hours_negative,pct_negative,peak_hour,positive_area_GWh,negative_area_GWh
FR,53.63182702690536,59.187509503376354,-161.8718624181622,-18.286576914553272,57.202912028933255,75.48948894348653,131.96791258686957,5656,64.5662100456621,403,54889.53496526906,215079.94873675573
BE,15.630145901003544,15.630145901003544,-38.65183766020536,-0.6863693864585062,12.934610113302522,13.62097949976103,105.30645593834032,4390,50.114155251141554,353,29531.21707510531,35543.812900481826
DE,84.62907495950405,84.62907495950405,-309.54543120598885,-45.063120521139375,72.87653504419022,117.93965556532962,161.8348834694383,6129,69.96575342465754,392,78453.50581437233,473206.44157955324
CH,9.361595310270589,9.361595310270589,-38.77230779381768,-2.595576817071919,7.883281922291986,10.478858739363906,132.92507920758567,4141,47.27168949771689,954,16133.906282790618,38871.159200340626
IT,62.26820521113585,62.26820521113585,-146.1253651024796,-5.1743921247598434,46.31765596521205,51.492048089971895,111.17153279226002,4043,46.15296803652968,234,115536.01619340014,160863.69120629638
ES,48.4298381829319,48.4298381829319,-142.19476202141485,-14.684219777437132,38.27345855809537,52.95767833553251,138.36658700479845,4902,55.958904109589035,692,66946.36171951509,195580.12696986436
UK,85.92097654062394,85.92097654062394,-127.99363704038686,-18.18679867402211,60.608254929416404,78.79505360343853,130.00713136387483,5570,63.58447488584474,18,73558.6085375184,232874.9649219521
NL,30.251597343678572,30.251597343678572,-97.20997596621473,-18.93953461130066,22.590316653822388,41.52985126512306,183.8391727815644,6590,75.22831050228311,401,21624.6048486748,187534.92804366857
IE,5.922631144002345,5.922631144002345,-49.34079441674172,-17.338156564772824,5.244887605010763,22.583044169783584,430.57250927948616,7900,90.18264840182648,1363,1687.6079137204888,153569.8594211304
PT,11.686029557511729,11.686029557511729,-36.09218391205913,-3.4531939033898778,8.316955648718164,11.770149552108043,141.51992687278664,5099,58.20776255707762,692,17172.52815272689,47422.506746422216
